leaf_name,iucn_status,domain,kingdom,phylum,N,EDGE2_mean,min,2.5pct,median,97.5pct,max,ED2_mean,min,2.5pct,median,97.5pct,max,p_ext_mean,min,2.5pct,median,97.5pct,max
Myiophobus_rufescens_ott6520803,No status,no_domain,no_kingdom,no_phylum,1000,9.934090,0.056220,0.462326,6.156432,28.437956,28.437956,28.440800,28.440800,28.440800,28.440800,28.440800,28.440800,0.349290,0.001977,0.016256,0.216465,0.999900,0.999900
Ptilinopus_arcanus_ott3596566,CR,no_domain,no_kingdom,no_phylum,1000,9.932913,7.522152,7.647560,10.602480,10.887911,10.887911,10.889000,10.889000,10.889000,10.889000,10.889000,10.889000,0.912197,0.690803,0.702320,0.973687,0.999900,0.999900
Sarcogyps_calvus_ott985504,CR,no_domain,no_kingdom,no_phylum,1000,9.828514,7.379547,7.554076,10.570460,10.778287,10.802979,10.736313,10.687606,10.692028,10.735850,10.789845,10.811766,0.915458,0.689342,0.703328,0.985065,0.999900,0.999900
Ninox_hypogramma_ott3595711,No status,no_domain,no_kingdom,no_phylum,1000,9.803863,0.059467,0.446483,6.390163,27.270373,27.270373,27.273100,27.273100,27.273100,27.273100,27.273100,27.273100,0.359470,0.002180,0.016371,0.234303,0.999900,0.999900
Ophrysia_superciliosa_ott3596083,No status,no_domain,no_kingdom,no_phylum,1000,9.793552,0.051018,0.407682,6.334256,25.806919,25.806919,25.809500,25.809500,25.809500,25.809500,25.809500,25.809500,0.379455,0.001977,0.015796,0.245423,0.999900,0.999900
Necrosyrtes_monachus_ott707369,CR,no_domain,no_kingdom,no_phylum,1000,9.772643,7.384013,7.519227,10.450024,10.710264,10.713900,10.708455,10.706035,10.706200,10.708241,10.712154,10.714971,0.912610,0.689585,0.702314,0.975792,0.999900,0.999900
Bucco_noanamae_ott3600719,No status,no_domain,no_kingdom,no_phylum,1000,9.724237,0.070375,0.583837,6.090709,26.507949,26.507949,26.510600,26.510600,26.510600,26.510600,26.510600,26.510600,0.366806,0.002655,0.022023,0.229746,0.999900,0.999900
Numenius_borealis_ott3596849,CR,no_domain,no_kingdom,no_phylum,1000,9.664608,7.208397,7.481831,10.246512,10.806700,10.826332,10.594362,10.305200,10.327024,10.605623,10.816345,10.827414,0.912230,0.689342,0.707042,0.969165,0.999900,0.999900
Zanclostomus_calyorhynchus_ott3602520,No status,no_domain,no_kingdom,no_phylum,1000,9.565711,0.060652,0.571553,6.146281,26.196166,26.923965,26.235398,26.037581,26.042848,26.144100,26.885920,27.043413,0.364675,0.002316,0.021922,0.235067,0.999900,0.999900
Rhinoptilus_africanus_ott57833,No status,no_domain,no_kingdom,no_phylum,1000,9.463991,0.062493,0.525199,5.862105,27.793524,27.793723,27.796289,27.796181,27.796185,27.796274,27.796482,27.796523,0.340477,0.002248,0.018895,0.210895,0.999900,0.999900
