RL.cat,pext
LC,0.064219724
LC,0.064260403
LC,0.064301067
LC,0.064341717
LC,0.064382351
LC,0.06442297
LC,0.064463574
LC,0.064504163
LC,0.064544737
LC,0.064585296
LC,0.06462584
LC,0.064666368
LC,0.064706882
LC,0.064747381
LC,0.064787865
LC,0.064828334
LC,0.064868788
LC,0.064909227
LC,0.064949651
LC,0.06499006
LC,0.065030454
LC,0.065070833
LC,0.065111198
LC,0.065151548
LC,0.065191882
LC,0.065232202
LC,0.065272508
LC,0.065312798
LC,0.065353073
LC,0.065393334
LC,0.06543358
LC,0.065473812
LC,0.065514028
LC,0.06555423
LC,0.065594417
LC,0.06563459
LC,0.065674747
LC,0.06571489
LC,0.065755019
LC,0.065795133
LC,0.065835232
LC,0.065875316
LC,0.065915386
LC,0.065955442
LC,0.065995483
LC,0.066035509
LC,0.066075521
LC,0.066115518
LC,0.0661555
LC,0.066195468
LC,0.066235422
LC,0.066275361
LC,0.066315286
LC,0.066355196
LC,0.066395092
LC,0.066434973
LC,0.06647484
LC,0.066514693
LC,0.066554531
LC,0.066594355
LC,0.066634164
LC,0.06667396
LC,0.06671374
LC,0.066753507
LC,0.066793259
LC,0.066832997
LC,0.06687272
LC,0.06691243
LC,0.066952125
LC,0.066991806
LC,0.067031472
LC,0.067071125
LC,0.067110763
LC,0.067150387
LC,0.067189997
LC,0.067229592
LC,0.067269174
LC,0.067308741
LC,0.067348295
LC,0.067387834
LC,0.067427359
LC,0.06746687
LC,0.067506367
LC,0.06754585
LC,0.067585319
LC,0.067624774
LC,0.067664215
LC,0.067703641
LC,0.067743054
LC,0.067782453
LC,0.067821838
LC,0.067861209
LC,0.067900566
LC,0.067939909
LC,0.067979239
LC,0.068018554
LC,0.068057855
LC,0.068097143
LC,0.068136417
LC,0.068175677
LC,0.068214923
LC,0.068254155
LC,0.068293374
LC,0.068332578
LC,0.068371769
LC,0.068410947
LC,0.06845011
LC,0.06848926
LC,0.068528396
LC,0.068567518
LC,0.068606627
LC,0.068645722
LC,0.068684803
LC,0.068723871
LC,0.068762925
LC,0.068801965
LC,0.068840992
LC,0.068880005
LC,0.068919005
LC,0.068957991
LC,0.068996963
LC,0.069035922
LC,0.069074868
LC,0.0691138
LC,0.069152718
LC,0.069191623
LC,0.069230514
LC,0.069269392
LC,0.069308257
LC,0.069347108
LC,0.069385946
LC,0.06942477
LC,0.069463581
LC,0.069502378
LC,0.069541162
LC,0.069579933
LC,0.069618691
LC,0.069657435
LC,0.069696166
LC,0.069734883
LC,0.069773587
LC,0.069812278
LC,0.069850956
LC,0.06988962
LC,0.069928272
LC,0.06996691
LC,0.070005534
LC,0.070044146
LC,0.070082744
LC,0.07012133
LC,0.070159902
LC,0.070198461
LC,0.070237007
LC,0.070275539
LC,0.070314059
LC,0.070352566
LC,0.070391059
LC,0.070429539
LC,0.070468007
LC,0.070506461
LC,0.070544902
LC,0.070583331
LC,0.070621746
